3	1	Jaroslav	Bradáč	Strana Práv Občanů	SPO	
3	2	Jiří	Dufka	ANO 2011	ANO 2011	#5434A3
3	3	Václav	Jakl	Strana svobodných občanů	Svobodní	
3	4	Pavel	Hojda	Komunistická strana Čech a Moravy	KSČM	#F40000
3	5	Libor	Špaček	Česká pirátská strana	Piráti	#504E4F
3	6	Vítězslav	Padevět	TOP 09	TOP 09	#B560F3
3	7	Miroslav	Nenutil	Česká strana sociálně demokratická	ČSSD	#FEA201
3	8	Jaroslav	Kočvara	Občanská demokratická strana	ODS	#1C76F0
6	1	Eva	Kašová	Komunistická strana Čech a Moravy	KSČM	#F40000
6	2	Jiří	Loskot	Nezávislí kandidáti	NK	
6	3	Zdeňka	Hamousová	ANO 2011	ANO 2011	#5434A3
6	4	Ivo	Trešl	Město pro vás	MPV	
6	5	Leo	Steiner	Křesťan.a demokrat.unie-Českosl.strana lidová	KDU-ČSL	#FEE300
6	6	Vladimír	Záhorský	NEZÁVISLÍ	NEZ	
6	7	Marcel	Chládek	Česká strana sociálně demokratická	ČSSD	#FEA201
6	8	Luděk	Štíbr	Občanská demokratická strana	ODS	#1C76F0
9	1	Michal	Drabík	Alternativa pro Plzeň	APPlzeň.cz	
9	2	Karel	Kvit	Komunistická strana Čech a Moravy	KSČM	#F40000
9	3	Václav	Šimánek	Česká strana sociálně demokratická	ČSSD	#FEA201
9	4	Petr	Rybář	Křesťan.a demokrat.unie-Českosl.strana lidová	KDU-ČSL	#FEE300
9	5	Ladislav	Cabada	TOP 09	TOP 09	#B560F3
9	6	Lumír	Aschenbrenner	Občanská demokratická strana	ODS	#1C76F0
9	7	Jiřina	Holotová	Úsvit přímé demokracie	Úsvit	#B3C382
9	8	Miloslava	Rutová	ANO 2011	ANO 2011	#5434A3
12	1	Martin	Gregora	TOP 09	TOP 09	#B560F3
12	2	Elvíra	Tomášková	Úsvit přímé demokracie	Úsvit	#B3C382
12	3	Karel	Kratochvíle	Česká strana sociálně demokratická	ČSSD	#FEA201
12	4	Jiří	Mánek	Občanská demokratická strana	ODS	#1C76F0
12	5	Petr	Martan	Strana Práv Občanů	SPO	
12	6	Robert	Huneš	Křesťan.a demokrat.unie-Českosl.strana lidová	KDU-ČSL	#FEE300
12	7	Mario	Vlček	ANO 2011	ANO 2011	#5434A3
12	8	Václav	Trojan	Strana svobodných občanů	Svobodní	
12	9	Miroslav	Krejča	Republika	Republika	
12	10	Vítězslava	Baborová	Komunistická strana Čech a Moravy	KSČM	#F40000
15	1	Milan	Štěch	Česká strana sociálně demokratická	ČSSD	#FEA201
15	2	Josef	Doubek	Občanská demokratická strana	ODS	#1C76F0
15	3	Lubomír	Havránek	Strana svobodných občanů	Svobodní	
15	4	Zdeňka	Bečková	Starostové pro občany	STO	
15	5	Stanislav	Kovář	Strana zelených	SZ	#0FB103
15	6	Tomáš	Křišťan	Křesťan.a demokrat.unie-Českosl.strana lidová	KDU-ČSL	#FEE300
15	7	Ivo	Jahelka	TOP 09	TOP 09	#B560F3
15	8	Miroslav	Lidinský	Občanská konzervativní strana	O.K. strana	
15	9	Radek	Nejezchleb	Komunistická strana Čech a Moravy	KSČM	#F40000
15	10	Josef	Fučík	ANO 2011	ANO 2011	#5434A3
18	1	Jiří	Burian	Občanská demokratická strana	ODS	#1C76F0
18	2	Karel	Beneš	Strana svobodných občanů	Svobodní	
18	3	Václav	Švenda	TOP 09	TOP 09	#B560F3
18	4	Josef	Řihák	Česká strana sociálně demokratická	ČSSD	#FEA201
18	5	Josef	Hála	Komunistická strana Čech a Moravy	KSČM	#F40000
18	6	Martin	Bartoš	Úsvit přímé demokracie	Úsvit	#B3C382
18	7	Vladimír	Danda	ANO 2011	ANO 2011	#5434A3
21	1	Dimiter	Petrov	Republika	Republika	
21	2	Daniel	Solis	NE Bruselu - Národní demokracie	ND	
21	3	Karol	Hrádela	Úsvit přímé demokracie	Úsvit	#B3C382
21	4	Roman	Kříž	Strana svobodných občanů	Svobodní	
21	5	Václav	Láska	Strana zelených	SZ	#0FB103
21	6	Vladimír	Balaš	STAROSTOVÉ A NEZÁVISLÍ	STAN	
21	7	Lubomír	Ledl	Komunistická strana Čech a Moravy	KSČM	#F40000
21	8	Věra	Adámková	ANO 2011	ANO 2011	#5434A3
21	9	Milan	Jančík	Konzervativní aliance 2014	KA14	
21	10	Pavel	Žáček	Občanská demokratická strana	ODS	#1C76F0
21	11	Stanislav	Štech	Česká strana sociálně demokratická	ČSSD	#FEA201
24	1	Tomáš	Kladívko	Občanská demokratická strana	ODS	#1C76F0
24	2	Oldřich	Pelčák	Česká strana sociálně demokratická	ČSSD	#FEA201
24	3	František	Křížek	Komunistická strana Čech a Moravy	KSČM	#F40000
24	4	Zuzana	Baudyšová	ANO 2011	ANO 2011	#5434A3
24	5	Ludvík Uwe	Vaník	Republika	Republika	
24	6	Miroslav	Froněk	Konzervativní aliance 2014	KA14	
24	7	František	Pecka	Strana svobodných občanů	Svobodní	
24	8	Ilona	Picková	Strana zelených	SZ	#0FB103
24	9	Petr	Hannig	Strana zdravého rozumu	Rozumní	
24	10	Jiří	Vávra	TOP 09	TOP 09	#B560F3
24	11	Ivan	Noveský	DOMOV	DOMOV	
27	1	Ivo	Kasal	ANTIBURSÍK - STOP EKOTERORU !	ABS	
27	2	Dagmar	Gušlbauerová	Komunistická strana Čech a Moravy	KSČM	#F40000
27	3	Petr	Šefl	Úsvit přímé demokracie	Úsvit	#B3C382
27	4	Milan	Jurových	Strana Práv Občanů	SPO	
27	5	Petr	Pavlík	Česká strana sociálně demokratická	ČSSD	#FEA201
27	6	Martin	Bursík	TOP 09	TOP 09	#B560F3
27	7	Vladimír	Stwora	NE Bruselu - Národní demokracie	ND	
27	8	Zdeněk	Schwarz	Občanská demokratická strana	ODS	#1C76F0
27	9	Václav	Hampl	Křesťan.a demokrat.unie-Českosl.strana lidová	KDU-ČSL	#FEE300
27	10	Miloslav	Dočekal	SNK Evropští demokraté	SNK ED	
27	11	Zdeňka	Chromíková	DOMOV	DOMOV	
27	12	Aleš	Rykl	Strana svobodných občanů	Svobodní	
27	13	Rudolf	Mládek	Občanská konzervativní strana	O.K. strana	
27	14	Laura	Janáčková	ANO 2011	ANO 2011	#5434A3
27	15	Eva	Jurinová	Republika	Republika	
30	1	Karel	Kasal	Spojení demokraté - Sdružení nezávislých	SD-SN	
30	2	Rudolf	CARVAN	Komunistická strana Čech a Moravy	KSČM	#F40000
30	3	Jiří	LANDA	ANO 2011	ANO 2011	#5434A3
30	4	Otto	CHALOUPKA	Republika	Republika	
30	5	Josef	HAUSMANN	NE Bruselu - Národní demokracie	ND	
30	6	Lenka	KOHOUTOVÁ	Občanská demokratická strana	ODS	#1C76F0
30	7	Michaela	VOJTOVÁ	TOP 09	TOP 09	#B560F3
30	8	Radek	STEHLÍK	Aktiv nezávislých občanů	ANEO	
30	9	Jana	ŠRÁMKOVÁ	Klub angažovaných nestraníků	KAN	
30	10	Jiří	DIENSTBIER	Česká strana sociálně demokratická	ČSSD	#FEA201
30	11	Miloslava	CHALUPOVÁ	Nezávislí kandidáti	NK	
33	1	Josef	Holub	Občanská demokratická strana	ODS	#1C76F0
33	2	Jaroslav	Kuba	NE Bruselu - Národní demokracie	ND	
33	3	Martin	Zíka	Česká pirátská strana	Piráti	#504E4F
33	4	Jaroslav	Sykáček	Česká strana sociálně demokratická	ČSSD	#FEA201
33	5	Zbyněk	Linhart	STAROSTOVÉ A NEZÁVISLÍ	STAN	
33	6	Vladimír	Gregor	Strana svobodných občanů	Svobodní	
33	7	Josef	Zoser	HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST	HNHRM	
33	8	Václav	Šenkýř	Komunistická strana Čech a Moravy	KSČM	#F40000
33	9	Marcela	Dvořáčková	ANO 2011	ANO 2011	#5434A3
33	10	Petr	Šmíd	Strana Práv Občanů	SPO	
36	1	Jan	Dvořák	Komunistická strana Čech a Moravy	KSČM	#F40000
36	2	Milan	Adamec	ANO 2011	ANO 2011	#5434A3
36	3	Libor	Kleibl	PRO Sport a Zdraví	PSZ	
36	4	Josef	Jadrný	Strana zelených	SZ	#0FB103
36	5	Karel	Tejnora	Občanská demokratická strana	ODS	#1C76F0
36	6	Miroslav	Coufal	Strana Práv Občanů	SPO	
36	7	Oldřich	Voženílek	Strana svobodných občanů	Svobodní	
36	8	Jiří	Vosecký	Starostové pro Liberecký kraj	SLK	
36	9	Karel	Kapoun	Česká strana sociálně demokratická	ČSSD	#FEA201
39	1	Pavel	Trpák	Česká strana sociálně demokratická	ČSSD	#FEA201
