39	2	Jaroslava	Hamerková	Strana Práv Občanů	SPO	
39	3	Stanislav	Rudolfský	Hnutí dobrých proměn	HDP	
39	4	Adolf	Klepš	TOP 09	TOP 09	#B560F3
39	5	Slavomil	Brádler	Komunistická strana Čech a Moravy	KSČM	#F40000
39	6	Stanislav	Penc	Kozí alternativa	KOZY	
39	7	Pavel	Káňa	Občanská demokratická strana	ODS	#1C76F0
39	8	Jiří	Hlavatý	ANO 2011	ANO 2011	#5434A3
42	1	Emilie	Třísková	Česká strana sociálně demokratická	ČSSD	#FEA201
42	2	Pavel	Lebeda	Republika	Republika	
42	3	Pavel	Kárník	TOP 09	TOP 09	#B560F3
42	4	Roman	Škrabánek	Úsvit přímé demokracie	Úsvit	#B3C382
42	5	Regina	Davídková	ANO 2011	ANO 2011	#5434A3
42	6	Milan	Rak	Občanská demokratická strana	ODS	#1C76F0
42	7	František	Švarc	Komunistická strana Čech a Moravy	KSČM	#F40000
45	1	Oldřich	Vlasák	Občanská demokratická strana	ODS	#1C76F0
45	2	Jaroslav	Malý	Česká strana sociálně demokratická	ČSSD	#FEA201
45	3	Pavel	Křížek	Strana zelených	SZ	#0FB103
45	4	Ladislav	Minařík	Úsvit přímé demokracie	Úsvit	#B3C382
45	5	Lubomír	Štěpán	Komunistická strana Čech a Moravy	KSČM	#F40000
45	6	Vladimír	Dryml	DOMOV	DOMOV	
45	7	Přemysl	Škácha	ANO 2011	ANO 2011	#5434A3
45	8	Jiří	Hejhálek	Strana svobodných občanů	Svobodní	
45	9	Anna	Maclová	Křesťan.a demokrat.unie-Českosl.strana lidová	KDU-ČSL	#FEE300
45	10	Jiří	Hladík	DOMA	DOMA	
45	11	Jiří	Oliva	TOP 09	TOP 09	#B560F3
48	1	Soňa	Hlavová	Strana Práv Občanů	SPO	
48	2	Petr	Sadovský	ANO 2011	ANO 2011	#5434A3
48	3	Miroslav	Antl	Česká strana sociálně demokratická	ČSSD	#FEA201
48	4	Václav	Cempírek	TOP 09	TOP 09	#B560F3
48	5	Roman	Kučera	Česká pirátská strana	Piráti	#504E4F
48	6	Josef	Lukášek	Komunistická strana Čech a Moravy	KSČM	#F40000
48	7	Luboš	Řehák	Křesťan.a demokrat.unie-Českosl.strana lidová	KDU-ČSL	#FEE300
51	1	Jaroslav	Ptáček	Občanská demokratická strana	ODS	#1C76F0
51	2	Petr	Stoček	Komunistická strana Čech a Moravy	KSČM	#F40000
51	3	Ladislav	Stalmach	Starostové pro občany	STO	
51	4	Miloš	Komínek	Solidarita, Vlast a Zákon	SVAZ	
51	5	Jiří	Havlíček	TOP 09	TOP 09	#B560F3
51	6	Dagmar	Zvěřinová	Česká strana sociálně demokratická	ČSSD	#FEA201
51	7	Josef	Mička	Strana Práv Občanů	SPO	
51	8	Ivo	Kaštan	Občanská konzervativní strana	O.K. strana	
51	9	Petr	Novák	Nezávislí kandidáti	NK	
51	10	Jiří	Nekovář	Úsvit přímé demokracie	Úsvit	#B3C382
51	11	Josef	Fendrych	Strana svobodných občanů	Svobodní	
51	12	František	Bradáč	Křesťan.a demokrat.unie-Českosl.strana lidová	KDU-ČSL	#FEE300
54	1	Petr	Firbas	ANO 2011	ANO 2011	#5434A3
54	2	Marta	Bayerová	Komunistická strana Čech a Moravy	KSČM	#F40000
54	3	Jiří	Němec	Křesťan.a demokrat.unie-Českosl.strana lidová	KDU-ČSL	#FEE300
54	4	Petr	Michek	LEV 21 - Národní socialisté	LEV 21	#990422
54	5	Karel	Podzimek	Občanská demokratická strana	ODS	#1C76F0
54	6	Pavel	Štohl	Česká strana sociálně demokratická	ČSSD	#FEA201
54	7	Petr	Krátký	Nezávislí kandidáti	NK	
54	8	Vladimír	Železný	NEZÁVISLÍ DEMOKRATÉ	NEZ/DEM	
57	1	Zdeněk	Šigut	TOP 09	TOP 09	#B560F3
57	2	Ivo	Bárek	Česká strana sociálně demokratická	ČSSD	#FEA201
57	3	Zdeněk	Koudelka	Komunistická strana Čech a Moravy	KSČM	#F40000
57	4	Roman	Celý	Křesťan.a demokrat.unie-Českosl.strana lidová	KDU-ČSL	#FEE300
57	5	Pavel	Zůna	ANO 2011	ANO 2011	#5434A3
60	1	Jan	Bobrovský	Občanská demokratická strana	ODS	#1C76F0
60	2	Karel	Schmeidler	ANO 2011	ANO 2011	#5434A3
60	3	Helena	Sýkorová	Komunistická strana Čech a Moravy	KSČM	#F40000
60	4	Michal V.	Marek	TOP 09	TOP 09	#B560F3
60	5	Karel	Doležal	Česká strana sociálně demokratická	ČSSD	#FEA201
60	6	Zdeněk	Papoušek	Křesťan.a demokrat.unie-Českosl.strana lidová	KDU-ČSL	#FEE300
60	7	Miloslava	Pošvářová	Strana zelených	SZ	#0FB103
60	8	Jiří	Šoltys	Občané České republiky	OČR	
60	9	Miloš	Janeček	Republika	Republika	
63	1	Antonín	Prachař	ANO 2011	ANO 2011	#5434A3
63	2	Dušan	Hluzín	TOP 09	TOP 09	#B560F3
63	3	Michal	Chromec	Česká strana sociálně demokratická	ČSSD	#FEA201
63	4	Miroslav	Raindl	Komunistická strana Čech a Moravy	KSČM	#F40000
63	5	Jitka	Seitlová	Strana zelených	SZ	#0FB103
66	1	Jan	Zahradníček	ANO 2011	ANO 2011	#5434A3
66	2	Jiří	Novák	DOMOV	DOMOV	
66	3	Alena	Šromová	Křesťan.a demokrat.unie-Českosl.strana lidová	KDU-ČSL	#FEE300
66	4	Pavel	Foretník	Úsvit přímé demokracie	Úsvit	#B3C382
66	5	Karel	Korytář	Česká strana sociálně demokratická	ČSSD	#FEA201
66	6	Zdenka	Wagnerová	Republika	Republika	
66	7	Radek	Vincour	Občanská demokratická strana	ODS	#1C76F0
66	8	Zdeněk	Beňo	Komunistická strana Čech a Moravy	KSČM	#F40000
69	1	Jiří	Hájek	Česká strana sociálně demokratická	ČSSD	#FEA201
69	2	Jiří	Carbol	Křesťan.a demokrat.unie-Českosl.strana lidová	KDU-ČSL	#FEE300
69	3	Stanislav	Fridrich	ANO 2011	ANO 2011	#5434A3
69	4	Ivan	Vrba	Komunistická strana Čech a Moravy	KSČM	#F40000
69	5	Slavomír	Bača	TOP 09	TOP 09	#B560F3
69	6	Martin	Adamec	Naše město F-M	NMFM	
69	7	Eva	Pastušková	Občanská demokratická strana	ODS	#1C76F0
72	1	Radim	Žebrák	Ostravak	Ostravak	
72	2	Lukáš	Curylo	Křesťan.a demokrat.unie-Českosl.strana lidová	KDU-ČSL	#FEE300
72	3	Peter	Koliba	ANO 2011	ANO 2011	#5434A3
72	4	Petr	Chodura	Toryové	TOR	
72	5	Petr	Gajdáček	Komunistická strana Čech a Moravy	KSČM	#F40000
72	6	Věra	Racková	Ostravské fórum	OF	
72	7	Jiří	Joneš	TOP 09	TOP 09	#B560F3
72	8	Radoslav	Štědroň	Strana práce	SP	
72	9	Pavel	Bartoš	Občanská demokratická strana	ODS	#1C76F0
72	10	Petr	Guziana	Strana Práv Občanů	SPO	
72	11	Petr	Mihálik	Česká strana sociálně demokratická	ČSSD	#FEA201
75	1	Werner	Bernatík	Občanská demokratická strana	ODS	#1C76F0
75	2	Roman	Gawlas	Nezávislí kandidáti	NK	
75	3	Vladislav	Szkandera	Křesťan.a demokrat.unie-Českosl.strana lidová	KDU-ČSL	#FEE300
75	4	Radek	Sušil	Česká strana sociálně demokratická	ČSSD	#FEA201
75	5	Tomaš	Gallik	Komunistická strana Čech a Moravy	KSČM	#F40000
75	6	Česlava	Lukaštíková	NEZÁVISLÍ	NEZ	
75	7	Martin	Gebauer	ANO 2011	ANO 2011	#5434A3
78	1	Petr	Žůrek	STAROSTOVÉ A NEZÁVISLÍ	STAN	
78	2	Karel	Nedbálek	Česká Suverenita	ČS	
78	3	Aloisie	Jurkovičová	ANO 2011	ANO 2011	#5434A3
78	4	Jan	Zlínský	NEZÁVISLÍ	NEZ	
78	5	František	Čuba	Strana Práv Občanů	SPO	
78	6	Alena	Gajdůšková	Česká strana sociálně demokratická	ČSSD	#FEA201
78	7	Vlastislav	Antolák	Komunistická strana Čech a Moravy	KSČM	#F40000
78	8	Jan	Bravenec	Úsvit přímé demokracie	Úsvit	#B3C382
78	9	Luděk	Maděra	Česká pirátská strana	Piráti	#504E4F
78	10	Olga	Křížová	Republika	Republika	
78	11	Aleš	Dufek	Křesťan.a demokrat.unie-Českosl.strana lidová	KDU-ČSL	#FEE300
78	12	Jiří	Sýkora	Občanská demokratická strana	ODS	#1C76F0
81	1	Pavel	Botek	Křesťan.a demokrat.unie-Českosl.strana lidová	KDU-ČSL	#FEE300
81	2	Luděk	Galuška	Nezávislí kandidáti	NK	
81	3	Jan	Pijáček	Občanská demokratická strana	ODS	#1C76F0
81	4	Václav	Hučík	Nezávislí kandidáti	NK	
81	5	Hana	Doupovcová	Česká strana sociálně demokratická	ČSSD	#FEA201
81	6	Ivan	Mařák	Komunistická strana Čech a Moravy	KSČM	#F40000
81	7	Zdeněk	Botek	ANO 2011	ANO 2011	#5434A3
81	8	Ivo	Valenta	Strana soukromníků České republiky	SsČR	
81	9	Alessandro	Alagia	VIZE 2014	VIZE	
81	10	Stanislav	Mikula	Zdravé Hradiště	ZH	
